Lists,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11
Pages,1-51,51-101,101-151,151-201,201-251,251-301,301-351,351-401,401-451,451-501,501-551
Days,,,,,,,,,,,
1,L1* + L1,,,,,,,,,,
2,L1(r),L2* + L2,,,,,,,,,
3,,L2(r),L3* + L3,,,,,,,,
4,L1,,L3(r),L4* + L4,,,,,,,
5,,L2,,L4(r),L5* + L5,,,,,,
6,,,L3,,L5(r),L6* + L6,,,,,
7,,,,L4,,L6(r),L7* + L7,,,,
8,L1(r),,,,L5,,L7(r),L8* + L8,,,
9,,L2(r),,,,L6,,L8(r),L9* + L9,,
10,,,L3(r),,,,L7,,L9(r),L10* + L10,
11,,,,L4(r),,,,L8,,L10(r),L11* + L11
12,,,,,L5(r),,,,L9,,L11(r)
13,,,,,,L6(r),,,,L10,
14,,,,,,,L7(r),,,,L11
15,L1,,,,,,,L8(r),,,
16,,L2,,,,,,,L9(r),,
17,,,L3,,,,,,,L10(r),
18,,,,L4,,,,,,,L11(r)
19,,,,,L5,,,,,,
20,,,,,,L6,,,,,
21,,,,,,,L7,,,,
22,,,,,,,,L8,,,
23,,,,,,,,,L9,,
24,,,,,,,,,,L10,
25,,,,,,,,,,,L11
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,L1,,,,,,,,,,
31,,L2,,,,,,,,,
32,,,L3,,,,,,,,
33,,,,L4,,,,,,,
34,,,,,L5,,,,,,
35,,,,,,L6,,,,,
36,,,,,,,L7,,,,
37,,,,,,,,L8,,,
38,,,,,,,,,L9,,
39,,,,,,,,,,L10,
40,,,,,,,,,,,L11
